time,enrolled,available,waitlisted,total
2022-11-05T20:11:10,0,360,0,360
2022-11-05T20:20:27,0,360,0,360
2022-11-05T20:29:44,0,360,0,360
2022-11-05T20:39:12,0,360,0,360
2022-11-05T20:48:28,0,360,0,360
2022-11-05T20:57:44,0,360,0,360
2022-11-05T21:06:59,0,360,0,360
2022-11-05T21:16:15,0,360,0,360
2022-11-05T21:25:30,0,360,0,360
2022-11-05T21:34:46,0,360,0,360
2022-11-05T21:44:02,0,360,0,360
2022-11-05T21:53:17,0,360,0,360
2022-11-05T22:02:32,0,360,0,360
2022-11-05T22:11:48,0,360,0,360
2022-11-05T22:21:03,0,360,0,360
2022-11-05T22:30:18,0,360,0,360
2022-11-05T22:39:36,0,360,0,360
2022-11-05T22:48:52,0,360,0,360
2022-11-05T22:58:08,0,360,0,360
2022-11-05T23:07:24,0,360,0,360
2022-11-05T23:16:40,0,360,0,360
2022-11-05T23:25:56,0,360,0,360
2022-11-05T23:35:14,0,360,0,360
2022-11-05T23:44:30,0,360,0,360
2022-11-05T23:53:47,0,360,0,360
2022-11-06T00:03:02,0,360,0,360
2022-11-06T00:12:28,0,360,0,360
2022-11-06T00:21:44,0,360,0,360
2022-11-06T00:31:00,0,360,0,360
2022-11-06T00:40:15,0,360,0,360
2022-11-06T00:49:31,0,360,0,360
2022-11-06T00:58:46,0,360,0,360
2022-11-06T01:08:01,0,360,0,360
2022-11-06T01:17:16,0,360,0,360
2022-11-06T01:26:32,0,360,0,360
2022-11-06T01:35:48,0,360,0,360
2022-11-06T01:45:04,0,360,0,360
2022-11-06T01:54:20,0,360,0,360
2022-11-06T01:03:36,0,360,0,360
2022-11-06T01:12:53,0,360,0,360
2022-11-06T01:22:09,0,360,0,360
2022-11-06T01:31:25,0,360,0,360
2022-11-06T01:40:40,0,360,0,360
2022-11-06T01:49:57,0,360,0,360
2022-11-06T01:59:16,0,360,0,360
2022-11-06T02:08:35,0,360,0,360
2022-11-06T02:17:53,0,360,0,360
2022-11-06T02:27:14,0,360,0,360
2022-11-06T02:36:34,0,360,0,360
2022-11-06T02:45:53,0,360,0,360
2022-11-06T02:55:12,0,360,0,360
2022-11-06T03:04:30,0,360,0,360
2022-11-06T03:13:48,0,360,0,360
2022-11-06T03:23:04,0,360,0,360
2022-11-06T03:32:22,0,360,0,360
2022-11-06T03:41:41,0,360,0,360
2022-11-06T03:51:01,0,360,0,360
2022-11-06T04:00:21,0,360,0,360
2022-11-06T04:15:38,0,360,0,360
2022-11-06T04:24:59,0,360,0,360
2022-11-06T04:34:18,0,360,0,360
2022-11-06T04:43:56,0,360,0,360
2022-11-06T04:54:21,0,360,0,360
2022-11-06T05:03:39,0,360,0,360
2022-11-06T05:12:56,0,360,0,360
2022-11-06T05:22:12,0,360,0,360
2022-11-06T05:31:30,0,360,0,360
2022-11-06T05:40:45,0,360,0,360
2022-11-06T05:50:01,0,360,0,360
2022-11-06T05:59:19,0,360,0,360
2022-11-06T06:08:38,0,360,0,360
2022-11-06T06:17:57,0,360,0,360
2022-11-06T06:27:14,0,360,0,360
2022-11-06T06:36:30,0,360,0,360
2022-11-06T06:45:47,0,360,0,360
2022-11-06T06:55:02,0,360,0,360
2022-11-06T07:04:19,0,360,0,360
2022-11-06T07:13:36,0,360,0,360
2022-11-06T07:22:53,0,360,0,360
2022-11-06T07:32:12,0,360,0,360
2022-11-06T07:41:30,0,360,0,360
2022-11-06T07:50:48,0,360,0,360
2022-11-06T08:00:05,0,360,0,360
2022-11-06T08:09:21,0,360,0,360
2022-11-06T08:18:39,0,360,0,360
2022-11-06T08:27:56,0,360,0,360
2022-11-06T08:37:12,0,360,0,360
2022-11-06T08:46:29,0,360,0,360
2022-11-06T08:55:47,0,360,0,360
2022-11-06T09:05:02,0,360,0,360
2022-11-06T09:14:17,0,360,0,360
2022-11-06T09:23:32,0,360,0,360
2022-11-06T09:32:45,0,360,0,360
2022-11-06T09:41:59,0,360,0,360
2022-11-06T09:51:13,0,360,0,360
2022-11-06T10:00:27,0,360,0,360
2022-11-06T10:09:40,0,360,0,360
2022-11-06T10:18:53,0,360,0,360
2022-11-06T10:28:07,0,360,0,360
2022-11-06T10:37:24,0,360,0,360
2022-11-06T10:46:39,0,360,0,360
2022-11-06T10:55:53,0,360,0,360
2022-11-06T11:05:09,0,360,0,360
2022-11-06T11:14:23,0,360,0,360
2022-11-06T11:23:40,0,360,0,360
2022-11-06T11:33:02,0,360,0,360
2022-11-06T11:42:19,0,360,0,360
2022-11-06T11:51:33,0,360,0,360
2022-11-06T12:00:47,0,360,0,360
2022-11-06T12:10:02,0,360,0,360
2022-11-06T12:19:17,0,360,0,360
2022-11-06T12:28:43,0,360,0,360
2022-11-06T12:37:56,0,360,0,360
2022-11-06T12:47:11,0,360,0,360
2022-11-06T12:56:26,0,360,0,360
2022-11-06T13:05:40,0,360,0,360
2022-11-06T13:14:55,0,360,0,360
2022-11-06T13:24:11,0,360,0,360
2022-11-06T13:33:25,0,360,0,360
2022-11-06T13:42:39,0,360,0,360
2022-11-06T13:51:52,0,360,0,360
2022-11-06T14:01:07,0,360,0,360
2022-11-06T14:10:23,0,360,0,360
2022-11-06T14:19:46,0,360,0,360
2022-11-06T14:29:00,0,360,0,360
2022-11-06T14:38:14,0,360,0,360
2022-11-06T14:47:31,0,360,0,360
2022-11-06T14:56:45,0,360,0,360
2022-11-06T15:05:58,0,360,0,360
2022-11-06T15:15:12,0,360,0,360
2022-11-06T15:24:26,0,360,0,360
2022-11-06T15:33:39,0,360,0,360
2022-11-06T15:42:53,0,360,0,360
2022-11-06T15:52:06,0,360,0,360
2022-11-06T16:01:19,0,360,0,360
2022-11-06T16:10:42,0,360,0,360
2022-11-06T16:19:56,0,360,0,360
2022-11-06T16:29:12,0,360,0,360
2022-11-06T16:38:29,0,360,0,360
2022-11-06T16:47:43,0,360,0,360
2022-11-06T16:56:59,0,360,0,360
2022-11-06T17:06:13,0,360,0,360
2022-11-06T17:15:28,0,360,0,360
2022-11-06T17:24:43,0,360,0,360
2022-11-06T17:33:58,0,360,0,360
2022-11-06T17:43:24,0,360,0,360
2022-11-06T17:52:37,0,360,0,360
2022-11-06T18:01:53,0,360,0,360
2022-11-06T18:11:08,0,360,0,360
2022-11-06T18:20:24,0,360,0,360
2022-11-06T18:29:38,0,360,0,360
2022-11-06T18:38:51,0,360,0,360
2022-11-06T18:48:05,0,360,0,360
2022-11-06T18:57:20,0,360,0,360
2022-11-06T19:06:35,0,360,0,360
2022-11-06T19:15:58,0,360,0,360
2022-11-06T19:25:13,0,360,0,360
2022-11-06T19:34:28,0,360,0,360
2022-11-06T19:43:41,0,360,0,360
2022-11-06T19:52:55,0,360,0,360
2022-11-06T20:02:09,0,360,0,360
2022-11-06T20:11:23,0,360,0,360
